w1,w2
free,219
entry,26
wkly,14
comp,10
win,61
fa,4
cup,5
final,16
tkts,4
st,30
may,7
text,121
receive,33
questionstd,2
txt,150
ratetcs,2
apply,30
overs,2
freemsg,12
hey,5
there,11
darling,2
its,11
been,43
weeks,13
now,190
and,122
no,77
word,22
back,23
id,3
like,13
some,6
fun,9
you,287
up,21
for,203
it,28
still,7
tb,1
ok,5
xxx,12
std,9
chgs,1
send,67
еј,270
rcv,4
winner,16
as,33
valued,11
network,25
customer,49
have,135
selected,25
receivea,2
prize,92
reward,10
claim,113
call,349
code,29
kl,2
valid,23
hours,6
only,84
had,18
your,263
mobile,124
months,6
or,188
more,30
u,155
r,23
entitled,8
update,19
latest,36
colour,17
mobiles,12
with,109
camera,33
co,5
six,3
chances,2
cash,62
from,129
pounds,17
csh,2
cost,23
pday,2
days,16
tsandcs,2
reply,101
hl,8
info,12
urgent,63
won,73
week,49
membership,2
our,85
jackpot,2
tc,21
wwwdbuknet,2
lccltd,2
pobox,30
ldnwarw,2
xxxmobilemovieclub,1
use,8
credit,9
click,5
wap,10
link,6
next,16
message,32
here,6
httpwap,1
xxxmobilemovieclubcomnqjkgighjjgcbl,1
england,9
v,5
macedonia,1
dont,22
miss,7
goalsteam,1
news,10
ur,144
national,12
team,3
eg,12
trywales,1
scotland,1
txtмј,1
poboxoxwwq,1
thanks,14
subscription,4
ringtone,26
uk,15
will,44
be,52
charged,11
ејmonth,1
please,54
confirm,1
by,36
replying,6
yes,21
if,32
not,24
rodger,1
burns,1
msg,27
we,53
tried,17
re,9
sms,26
nokia,69
camcorder,15
delivery,21
tomorrow,10
ac,4
sptv,2
new,69
jersey,1
devils,1
detroit,1
red,1
wings,1
play,18
ice,1
hockey,1
correct,4
incorrect,1
end,15
congrats,10
year,6
special,11
cinema,3
pass,5
is,158
yours,15
c,23
suprman,3
matrix,3
starwars,3
etc,7
all,28
bxipwe,3
pm,9
out,56
i,54
am,14
pleased,3
advise,3
that,26
following,5
recent,3
review,4
mob,24
are,80
awarded,38
bonus,21
complimentary,12
trip,4
eurodisinc,2
trav,2
acoentry,2
dis,2
ејmorefrmmob,2
shracomorsglsuplt,2
ls,2
aj,2
did,2
hear,3
about,7
divorce,1
barbie,1
comes,3
kens,1
stuff,1
service,55
representative,10
between,10
ampm,12
guaranteed,50
waiting,17
collected,2
simply,3
password,3
mix,3
verify,3
get,83
usher,2
britney,2
fml,2
gent,2
trying,15
contact,56
last,13
weekends,7
draw,38
shows,31
k,12
hrs,22
ppm,44
specially,9
holiday,32
flights,6
inc,8
speak,10
live,29
operator,15
pmin,26
private,18
account,19
statement,16
unredeemed,16
points,16
identifier,16
expires,17
was,9
caller,12
this,87
try,6
landline,32
boxwrc,1
todays,20
voda,5
numbers,9
ending,8
award,28
match,6
quoting,5
standard,6
rates,9
app,4
sunshine,8
quiz,13
q,4
top,16
sony,8
dvd,7
player,12
know,25
which,8
country,4
algarve,2
ansr,4
sptyrone,4
want,29
laid,3
tonight,2
real,13
dogging,11
locations,5
sent,10
direct,10
join,16
uks,10
largest,4
bt,5
txting,10
gravel,1
nt,1
eca,4
pmsgp,2
youll,1
any,25
msgs,6
chat,43
svc,1
hardcore,2
services,17
go,33
nothing,4
must,5
age,15
yr,13
again,3
why,12
havent,1
replied,1
my,11
im,13
randy,2
sexy,15
female,1
local,5
luv,5
netcollex,4
ltd,15
p,70
per,46
stop,116
annoncement,1
years,7
arrange,2
pls,11
bootydelious,1
f,10
inviting,6
her,12
friend,11
see,19
wwwsmsacubootydelious,1
frnd,6
bangbabes,1
order,14
way,1
should,7
download,3
content,14
do,23
goto,6
bangb,1
tv,6
internetservice,1
menu,1
s,22
freephone,8
unique,2
enough,2
find,23
th,5
august,2
wwwareyouuniquecouk,1
collect,22
todayfrom,2
wwwtcbiz,5
optout,13
gbpmtmsg,3
meet,6
dream,3
partner,5
soon,3
career,1
off,4
flyng,1
start,5
horo,2
followed,3
star,2
sign,2
e,7
g,11
aries,1
someone,14
today,16
can,29
date,9
even,6
flirt,4
just,77
name,17
sam,3
recdthirtyeight,1
pence,3
secret,10
admirer,10
who,49
looking,9
make,13
ufind,8
they,15
rreveal,8
thinks,10
so,26
specialcall,8
congratulations,14
cd,8
vouchers,20
gift,21
music,20
tncs,6
wwwldewcomwinppmxage,4
offer,25
video,29
handset,6
anytime,12
networks,2
mins,38
unlimited,10
really,1
horny,7
me,30
naked,1
hot,15
at,26
unsubscribe,18
has,30
changed,1
credits,9
clubmobilescom,1
choose,10
club,20
pwk,3
po,30
box,45
mk,1
wt,1
singles,5
chart,2
each,8
quality,2
charge,10
hmv,11
genuine,3
answer,8
easy,13
questions,6
infowwwpercentrealcom,3
tmobile,3
phone,46
upgrade,3
pay,1
sim,5
card,4
loyalty,7
ends,4
thfebtcs,1
blind,2
rodds,1
m,23
aberdeen,1
united,1
kingdom,1
